athlete_id,name,born_date,born_country,NOC,country_noc
27963,Lazar Radović,1935-11-30,MNE,Yugoslavia,YUG
27964,Nikola Radović,1933-03-10,MNE,Yugoslavia,YUG
27965,Srebrenko Repčić,1954-12-01,BIH,Yugoslavia,YUG
27966,Janko Rodin,1900-02-17,CRO,Yugoslavia,YUG
27967,Novak Roganović,1932-01-14,SRB,Yugoslavia,YUG
27968,Rudolf Rupec,1896-02-17,CRO,Yugoslavia,YUG
27969,Jovan Ružić,1898-12-12,SRB,Yugoslavia,YUG
27970,Refik Šabanadžović,1965-08-02,MNE,Yugoslavia,YUG
27972,Ivan Šantek,1932-04-23,CRO,Yugoslavia,YUG
27973,Toni Savevski,1963-06-14,MKD,Yugoslavia,YUG
27974,Dževad Šećerbegović,1955-07-15,BIH,Yugoslavia,YUG
27975,Dragoslav Šekularac,1937-11-30,MKD,Yugoslavia,YUG
27976,Miloš Šestić,1956-08-08,BIH,Yugoslavia,YUG
27977,Jaroslav Šifer,1895-08-12,CRO,Yugoslavia,YUG
27978,Geza Šifliš,1907-02-25,SRB,Yugoslavia,YUG
27979,Nikola Simić,1897-12-02,SRB,Yugoslavia,YUG
27980,Admir Smajić,1963-09-07,BIH,Yugoslavia,YUG
27981,Josip Šolc,1898-01-30,CRO,Yugoslavia,YUG
27982,Velimir Sombolac,1939-02-27,BIH,Yugoslavia,YUG
27983,Milutin Šoškić,1937-12-31,KOS,Yugoslavia,YUG
27984,Franjo Šoštarić,1919-08-01,CRO,Yugoslavia,YUG
27986,Ljubiša Spajić,1926-03-07,SRB,Yugoslavia,YUG
27987,Predrag Spasić,1965-05-13,SRB,Yugoslavia,YUG
27988,Branko Stanković,1921-10-31,BIH,Yugoslavia,YUG
27989,Vujadin Stanojković,1963-09-10,MKD,Yugoslavia,YUG
27990,Stevan Stojanović,1964-10-29,KOS,Yugoslavia,YUG
27991,Dragan Stojković,1965-03-03,SRB,Yugoslavia,YUG
27992,Davor Šuker,1968-01-01,CRO,Yugoslavia,YUG
